epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5978,0.91429,0.76076,1.24066,0.71302,0.59541,0.65927,0.42182,1.30158,1.12644,1.57278,0.00013824,0.00013824,0.00013824
2,145.546,0.95199,0.8074,1.25896,0.62142,0.60514,0.62918,0.4038,1.32413,1.12884,1.60405,0.00027381,0.00027381,0.00027381
3,220.153,1.00988,0.89262,1.29868,0.67163,0.57746,0.61555,0.38562,1.36206,1.17803,1.6361,0.000405938,0.000405938,0.000405938
4,290.049,1.00981,0.89828,1.30152,0.68433,0.55752,0.61327,0.37384,1.37071,1.21491,1.63532,0.000401519,0.000401519,0.000401519
5,354.414,1.01811,0.89956,1.29163,0.61082,0.57523,0.60123,0.36789,1.37381,1.23165,1.62963,0.000396358,0.000396358,0.000396358
6,417.443,1.01543,0.90158,1.30064,0.67911,0.54905,0.62138,0.38607,1.3601,1.21385,1.62771,0.000391198,0.000391198,0.000391198
7,480.462,1.02153,0.89701,1.31068,0.66642,0.58578,0.62297,0.38805,1.354,1.17349,1.62732,0.000386038,0.000386038,0.000386038
8,543.286,1.00073,0.88456,1.28748,0.62277,0.56192,0.6002,0.36693,1.39553,1.18587,1.64654,0.000380877,0.000380877,0.000380877
9,606.532,1.01332,0.88434,1.28921,0.64187,0.56947,0.60415,0.37064,1.38931,1.20966,1.65108,0.000375717,0.000375717,0.000375717
10,670.405,1.01049,0.88089,1.29603,0.65754,0.56824,0.59829,0.37604,1.38068,1.2266,1.64729,0.000370557,0.000370557,0.000370557
11,733.409,0.98433,0.85428,1.28326,0.59702,0.60899,0.61599,0.39116,1.36291,1.15812,1.62269,0.000365396,0.000365396,0.000365396
12,796.325,1.00122,0.88293,1.28501,0.61354,0.61364,0.62399,0.37938,1.38248,1.20055,1.62994,0.000360236,0.000360236,0.000360236
13,859.193,1.00981,0.89304,1.29391,0.61424,0.5966,0.60625,0.38095,1.3832,1.20608,1.64391,0.000355076,0.000355076,0.000355076
14,922.188,0.98173,0.84331,1.27804,0.64982,0.61409,0.61983,0.38902,1.38448,1.22341,1.65209,0.000349915,0.000349915,0.000349915
15,985.302,0.98103,0.85068,1.27556,0.67872,0.57976,0.62671,0.38597,1.34942,1.21375,1.62007,0.000344755,0.000344755,0.000344755
16,1048.07,0.95863,0.82784,1.26188,0.60358,0.63509,0.62345,0.38641,1.38188,1.18199,1.63531,0.000339594,0.000339594,0.000339594
17,1110.88,0.94911,0.82398,1.25553,0.68506,0.58475,0.64297,0.39781,1.34215,1.19951,1.61149,0.000334434,0.000334434,0.000334434
18,1173.91,0.94761,0.81867,1.25937,0.65684,0.601,0.62294,0.38923,1.36432,1.19954,1.64943,0.000329274,0.000329274,0.000329274
19,1236.83,0.94929,0.81489,1.25118,0.70342,0.57932,0.63575,0.39055,1.37994,1.17098,1.64416,0.000324113,0.000324113,0.000324113
20,1299.55,0.94457,0.82268,1.25229,0.68291,0.55933,0.60606,0.37126,1.3922,1.2719,1.67226,0.000318953,0.000318953,0.000318953
21,1362.45,0.93608,0.81294,1.25156,0.68114,0.57011,0.6321,0.39468,1.39643,1.14971,1.66129,0.000313792,0.000313792,0.000313792
